3001,656,1274,763,1274,763,1365,656,1365,0.67626953125
3001,369,648,616,648,616,982,369,982,0.859375
3001,368,1068,623,1068,623,1117,368,1117,0.9189453125
3001,367,1140,626,1140,626,1171,367,1171,0.92041015625
3002,377,1088,417,1088,417,1196,377,1196,0.873046875
3002,604,1032,676,1032,676,1168,604,1168,0.892578125
3002,385,949,674,949,674,1032,385,1032,0.9033203125
3002,428,168,701,168,701,948,428,948,0.90576171875
3002,448,1177,571,1177,571,1208,448,1208,0.9111328125
3003,13,918,237,918,237,975,13,975,0.8994140625
3003,389,720,680,720,680,824,389,824,0.93603515625
3004,299,1220,346,1220,346,1355,299,1355,0.62548828125
3004,529,1268,569,1268,569,1365,529,1365,0.6376953125
3004,523,827,570,827,570,1019,523,1019,0.8994140625
3004,417,836,463,836,463,1019,417,1019,0.923828125
3004,453,362,541,362,541,713,453,713,0.9296875
3005,431,738,505,738,505,1061,431,1061,0.9296875
3005,511,731,593,731,593,1058,511,1058,0.935546875
3006,530,212,653,212,653,604,530,604,0.8505859375
3006,159,317,447,317,447,533,159,533,0.8623046875
3006,562,1303,710,1303,710,1357,562,1357,0.89013671875
3007,531,571,592,571,592,624,531,624,0.720703125
3007,302,538,593,538,593,620,302,620,0.86328125
3007,349,659,539,659,539,703,349,703,0.94091796875
3007,379,739,508,739,508,818,379,818,0.9423828125
3007,294,445,595,445,595,530,294,530,0.94580078125
3008,342,213,992,213,992,497,342,497,0.91015625
3008,405,519,913,519,913,654,405,654,0.9404296875
3009,633,624,755,624,755,655,633,655,0.81640625
3009,881,603,996,603,996,630,881,630,0.82470703125
3009,525,638,622,638,622,670,525,670,0.85693359375
3009,393,711,957,711,957,785,393,785,0.865234375
3009,321,522,994,522,994,625,321,625,0.92138671875
3010,652,990,696,990,696,1000,652,1000,0.59912109375
3010,0,836,22,836,22,849,0,849,0.64501953125
3010,493,882,514,882,514,891,493,891,0.66748046875
3010,361,1241,422,1241,422,1262,361,1262,0.7060546875
3010,601,1267,625,1267,625,1281,601,1281,0.7109375
3010,461,1222,477,1222,477,1246,461,1246,0.7158203125
3010,911,943,985,943,985,992,911,992,0.7197265625
3010,241,660,251,660,251,685,241,685,0.7314453125
3010,600,1296,627,1296,627,1312,600,1312,0.73193359375
3010,266,1336,319,1336,319,1359,266,1359,0.7412109375
3010,233,661,296,661,296,690,233,690,0.79833984375
3010,220,762,248,762,248,999,220,999,0.79833984375
3010,863,1205,890,1205,890,1259,863,1259,0.8251953125
3010,2,1271,23,1271,23,1281,2,1281,0.82861328125
3010,427,1229,457,1229,457,1253,427,1253,0.83984375
3010,607,1114,671,1114,671,1137,607,1137,0.84912109375
3010,238,635,288,635,288,654,238,654,0.8525390625
3010,480,1218,506,1218,506,1239,480,1239,0.85546875
3010,607,1114,672,1114,672,1139,607,1139,0.86083984375
3010,536,1099,597,1099,597,1179,536,1179,0.8671875
3010,565,60,631,60,631,521,565,521,0.8740234375
3010,415,864,480,864,480,897,415,897,0.880859375
3010,0,1254,23,1254,23,1270,0,1270,0.88623046875
3010,571,881,656,881,656,898,571,898,0.89404296875
3010,588,814,680,814,680,833,588,833,0.89599609375
